Timestamp,How well did you understand today’s topic?,Rate your engagement,What was the most important thing you learned?,What is one question you still have?,Any suggestions?
2025/08/08 1:06:22 PM GMT+5:30,Understand,5,Knowledge,,Very nice session
2025/08/08 1:16:27 PM GMT+5:30,Well Understand,5,I learned so many new innovative methods and tools.,No queries.,There should be more courses on this.
2025/08/08 1:22:07 PM GMT+5:30,Well Understand,5,The session was very good and well explained ,Still I have don't have any questions ,Quite very  nice session 
2025/08/08 1:28:41 PM GMT+5:30,Not Understand,5,Financial decisions,Theories and models,Use interactive tools
2025/08/08 1:29:43 PM GMT+5:30,Well Understand,5,Financial Accounting ,What are main purpose of accounting ,Use interactive tools
2025/08/08 1:34:02 PM GMT+5:30,Well Understand,5,Preparation of financial statement,No question,No
2025/08/08 1:35:16 PM GMT+5:30,Understand,5,Use of AI in proper way,,
2025/08/08 1:46:15 PM GMT+5:30,Well Understand,5,Old and New Tax schemes ,No ,No
2025/08/08 1:57:42 PM GMT+5:30,Well Understand,5,New AI tools ,No question ,NA
2025/08/08 2:05:21 PM GMT+5:30,Not Understand,1,C,C,C
2025/08/08 2:06:22 PM GMT+5:30,Well Understand,5,Important AI Tools,No Questions,Wonderful Session. Thanks
2025/08/08 2:18:42 PM GMT+5:30,Well Understand,5,Ai tools ,No,No
2025/08/08 2:36:52 PM GMT+5:30,Well Understand,4,All things,Nothing,No
2025/08/08 2:55:55 PM GMT+5:30,Well Understand,5,Recent trends,Case example,Good
2025/08/08 3:00:37 PM GMT+5:30,Well Understand,5,New AI tools,Nil,Good session 
2025/08/08 3:01:14 PM GMT+5:30,Well Understand,5,New AI tools,No,Good
2025/08/08 3:30:21 PM GMT+5:30,Understand,5,AI tools,How to use canva,No thanks
2025/08/08 3:52:46 PM GMT+5:30,Well Understand,5,Learn concepts ,No,No
